value,ttl,trip_class,show_to_affiliates,return_date,origin,number_of_changes,gate,found_at,distance,destination,depart_date,created_at,airline,actual
48268,1617318155,0,False,2021-07-12,NYC,2,MyHolidays,2021-03-30T23:02:35,0,AMM,2021-06-12,1617145355,UA,True
18848,1617276717,0,False,2021-05-30,NYC,1,Kiwi.com,2021-03-30T11:31:57,0,LAS,2021-04-30,1617103917,AA,True
21453,1617318364,0,False,2021-07-30,NYC,1,Kiwi.com,2021-03-30T23:06:04,0,BAQ,2021-06-30,1617145564,AA,True
60856,1617587522,0,False,2021-07-01,NYC,1,MyHolidays,2021-04-03T01:52:02,0,ISB,2021-06-01,1617414722,TK,True
43982,1617752638,0,False,2021-05-19,NYC,1,SuperSaver,2021-04-04T23:43:58,0,MOW,2021-04-19,1617579838,TK,True
28277,1617270930,0,False,2021-07-28,NYC,1,Kiwi.com,2021-03-30T09:55:30,0,AXM,2021-06-28,1617098130,AA,True
208900,1617588351,0,False,2021-05-31,NYC,4,Gotogate,2021-04-03T02:05:51,0,SYD,2021-05-01,1617415551,CX,True
40249,1617755691,0,False,2021-07-30,NYC,1,MyHolidays,2021-04-05T00:34:51,0,KRK,2021-06-30,1617582891,LH,True
50863,1617238730,0,False,2021-07-17,NYC,1,Kiwi.com,2021-03-30T00:58:50,0,LWO,2021-06-17,1617065930,BF,True
59829,1617415714,0,False,2021-06-30,NYC,1,Cheapflightsfreak,2021-04-01T02:08:34,0,TBS,2021-05-31,1617242914,UA,True
15480,1617695332,0,False,2021-07-23,NYC,1,Kiwi.com,2021-04-04T07:48:52,0,DEN,2021-06-23,1617522532,WN,True
64216,1617468604,0,False,2021-07-29,NYC,1,MyHolidays,2021-04-01T16:50:04,0,SJJ,2021-06-29,1617295804,TK,True
21426,1617332418,0,False,2021-05-20,NYC,1,JustFly,2021-03-31T03:00:18,0,SAP,2021-04-20,1617159618,NK,True
23368,1617409346,0,False,2021-07-29,NYC,1,MyHolidays,2021-04-01T00:22:26,0,GUA,2021-06-29,1617236546,UA,True
55942,1617219476,0,False,2021-05-25,NYC,1,Aviakassa,2021-03-29T19:37:56,0,PEE,2021-04-25,1617046676,SU,True
47090,1617673200,0,False,2021-05-26,NYC,1,SmartFares,2021-04-04T01:40:00,0,CLJ,2021-04-26,1617500400,TK,True
73189,1617273467,0,False,2021-05-31,NYC,1,MyHolidays,2021-03-30T10:37:47,0,MNL,2021-05-01,1617100667,QR,True
49527,1617499763,0,False,2021-06-30,NYC,1,Kiwi.com,2021-04-02T01:29:23,0,KIV,2021-05-31,1617326963,BF,True
46103,1617471206,0,False,2021-07-20,NYC,1,Myflightsbuddy,2021-04-01T17:33:26,0,TLV,2021-06-20,1617298406,VS,True
13071,1617669323,0,False,2021-05-31,NYC,1,Bravofly,2021-04-04T00:35:23,0,FLL,2021-05-01,1617496523,NK,True
72263,1617786691,0,False,2021-05-28,NYC,1,Mytrip.com,2021-04-05T09:11:31,0,TAS,2021-04-28,1617613891,EK,True
49572,1617779774,0,False,2021-05-15,NYC,2,Tickets.ru,2021-04-05T07:16:14,0,AYT,2021-04-15,1617606974,BF,True
65665,1617309272,0,False,2021-05-15,NYC,2,Kissandfly.com,2021-03-30T20:34:32,0,HRK,2021-04-15,1617136472,LH,True
84815,1617207892,0,False,2021-05-24,NYC,1,MyHolidays,2021-03-29T16:24:52,0,DYU,2021-04-24,1617035092,TK,True
53053,1617630527,0,False,2021-05-28,NYC,1,SmartFares,2021-04-03T13:48:47,0,HKG,2021-04-28,1617457727,OZ,True
53436,1617460500,0,False,2021-06-14,NYC,1,SmartFares,2021-04-01T14:35:00,0,LHE,2021-05-15,1617287700,EK,True
67046,1617578958,0,False,2021-05-20,NYC,1,Mytrip.com,2021-04-02T23:29:18,0,EVN,2021-04-20,1617406158,UA,True
